AREA;NOMBRE_PROGRAMA_FORMACION;FICHA;NIVEL;;
TECNOLOGIA;PRODUCCION DE MULTIMEDIA;2998167;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;2997942;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;2998150;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTION CONTABLE Y DE INFORMACION FINANCIERA;2930432;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;2930433;TECNOLOGO;;
SIN AREA DEFINIDA;BISUTERIA ARTESANAL.;3357679;OPERARIO;;
TECNOLOGIA;ANALISIS Y DESARROLLO DE SOFTWARE.;2998177;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;2997972;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTION CONTABLE Y DE INFORMACION FINANCIERA;2998174;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;2997931;TECNOLOGO;;
AGRICOLA;OPERACION DE MAQUINARIA AGRICOLA;3308137;TECNICO;;
SIN AREA DEFINIDA;EMPRENDIMIENTO Y FOMENTO EMPRESARIAL;3308026;TECNICO;;
SIN AREA DEFINIDA;EMPRENDIMIENTO Y FOMENTO EMPRESARIAL;3308040;TECNICO;;
PECUARIA;PRODUCCI”N DE ESPECIES MENORES;3066542;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3066553;TECNOLOGO;;
AMBIENTAL;PRODUCCI”N AGROPECUARIA ECOL”GICA;3066560;TECNOLOGO;;
SIN AREA DEFINIDA;AGROTRONICA;3234481;TECNICO;;
SIN AREA DEFINIDA;ELABORACION DE PRODUCTOS ALIMENTICIOS.;3233363;TECNICO;;
FIC;INSTALACIONES HIDRAULICAS Y SANITARIAS EN EDIFICACIONES RESIDENCIALES Y COMERCIALES.;3234475;TECNICO;;
AMBIENTAL;SISTEMAS AGROPECUARIOS ECOLOGICOS.;3328394;TECNICO;;
SIN AREA DEFINIDA;PROMOTOR DE SALUD;3408170;AUXILIAR;;
AGROINDUSTRIA;CONTROL DE CALIDAD EN LA INDUSTRIA DE ALIMENTOS;3066580;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3066539;TECNOLOGO;;
TECNOLOGIA;ANALISIS Y DESARROLLO DE SOFTWARE.;3066552;TECNOLOGO;;
Agroindustria;COCINA.;3317554;TECNICO;;
SIN AREA DEFINIDA;SANEAMIENTO Y SALUD AMBIENTAL;3391946;TECNICO;;
CONFECCIONES;ELABORACION DE PRENDAS DE VESTIR SOBRE MEDIDAS;3394312;TECNICO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3174638;TECNOLOGO;;
PECUARIA;PRODUCCI”N DE ESPECIES MENORES;3174668;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3174634;TECNOLOGO;;
COMERCIO Y SERVICIOS;COMUNICACI”N COMERCIAL;3174600;TECNOLOGO;;
TECNOLOGIA;PRODUCCION DE MULTIMEDIA;3174672;TECNOLOGO;;
AGRICOLA;GESTION DE LA PRODUCCION AGRICOLA;3174412;TECNOLOGO;;
Agroindustria;CONTROL DE CALIDAD EN LA INDUSTRIA DE ALIMENTOS;3174456;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTION CONTABLE Y DE INFORMACION FINANCIERA;3174444;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3174308;TECNOLOGO;;
TECNOLOGIA;ANALISIS Y DESARROLLO DE SOFTWARE.;3174404;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3223907;TECNOLOGO;;
PECUARIA;PRODUCCI”N GANADERA;3290547;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3312006;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3234511;TECNOLOGO;;
AMBIENTAL;GESTI”N DE RECURSOS NATURALES;3234484;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3296585;TECNOLOGO;;
AGRICOLA;MECANIZACI”N AGRÕCOLA;3308127;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTION CONTABLE Y DE INFORMACION FINANCIERA;3290577;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3312002;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3290911;TECNOLOGO;;
AMBIENTAL;PRODUCCI”N AGROPECUARIA ECOL”GICA;3370847;TECNOLOGO;;
AMBIENTAL;PRODUCCI”N AGROPECUARIA ECOL”GICA;3370845;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTION CONTABLE Y DE INFORMACION FINANCIERA;3232951;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3233006;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3232972;TECNOLOGO;;
TECNOLOGIA;ANALISIS Y DESARROLLO DE SOFTWARE.;3369736;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3409184;TECNOLOGO;;
TECNOLOGIA;PRODUCCION DE MULTIMEDIA;3409215;TECNOLOGO;;
PECUARIA;PRODUCCI”N DE ESPECIES MENORES;3409194;TECNOLOGO;;
COMERCIO Y SERVICIOS;GESTI”N EMPRESARIAL;3409175;TECNOLOGO;;
TECNOLOGIA;ANALISIS Y DESARROLLO DE SOFTWARE.;3409199;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3409185;TECNOLOGO;;
COMERCIO Y SERVICIOS;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;3409186;TECNOLOGO;;
SIN AREA DEFINIDA;GESTION DE PROYECTOS DE DESARROLLO ECONOMICO Y SOCIAL;3369746;TECNOLOGO;;
